"DEFINITION_ID";"WORD_ID";"DEFINITION";"EXAMPLE_SENTENCE_01_ID";"EXAMPLE_SENTENCE_02_ID";"EXAMPLE_SENTENCE_03_ID";"EXAMPLE_SENTENCE_04_ID";"EXAMPLE_SENTENCE_05_ID";"EXAMPLE_SENTENCE_06_ID";"EXAMPLE_SENTENCE_07_ID";"EXAMPLE_SENTENCE_08_ID";"EXAMPLE_SENTENCE_09_ID";"EXAMPLE_SENTENCE_10_ID";"EXAMPLE_SENTENCE_11_ID";"EXAMPLE_SENTENCE_12_ID";"EXAMPLE_SENTENCE_13_ID";"EXAMPLE_SENTENCE_14_ID";"EXAMPLE_SENTENCE_15_ID";"EXAMPLE_SENTENCE_16_ID";"EXAMPLE_SENTENCE_17_ID";"EXAMPLE_SENTENCE_18_ID";"EXAMPLE_SENTENCE_19_ID";"EXAMPLE_SENTENCE_20_ID";"EXAMPLE_SENTENCE_21_ID";"EXAMPLE_SENTENCE_22_ID";"EXAMPLE_SENTENCE_23_ID";"EXAMPLE_SENTENCE_24_ID";"EXAMPLE_SENTENCE_25_ID";"EXAMPLE_SENTENCE_26_ID";"EXAMPLE_SENTENCE_27_ID";"EXAMPLE_SENTENCE_28_ID";"EXAMPLE_SENTENCE_29_ID";"EXAMPLE_SENTENCE_30_ID"
"00001";"00001A";"（新聞・雑誌などの）予約購読、（携帯などの）契約、料金プラン";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00002";"00002A";"購読する、予約購読する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00003";"00003A";"①流産";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00004";"00003B";"②妊娠中絶";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00005";"00004A";"絶対の、完全な";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00006";"00005A";"（利用の）許可、特権、入場";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00007";"00006A";"形容詞";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00008";"00007A";"さようなら";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00009";"00008A";"従う，応じる，（命令などを）守る";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00010";"00009A";"管理する、経営する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00011";"00010A";"①養子にする";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00012";"00010B";"②採用する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00013";"00011A";"住所、あて先";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00014";"00012A";"警告する、注意する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00015";"00013A";"警告、戒め";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00016";"00014A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00017";"00015A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00018";"00016A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00019";"00017A";"副詞";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00020";"00018A";"弁護士";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00021";"00019A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00022";"00020A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00023";"00021A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00024";"00022A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00025";"00023A";"夕方、晩、前夜";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00026";"00024A";"ノルウェーで最も読者の多い日刊新聞";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00027";"00025A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00028";"00026A";"キュウリ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00029";"00027A";"そりで滑る";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00030";"00028A";"ソリ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00031";"00029A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00032";"00030A";"正確に、確かに";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00033";"00031A";"①受け入れる、承知する、引き受ける";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00034";"00031B";"②認める容認する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00035";"00032A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00036";"00033A";"株（券）";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00037";"00034A";"活動";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00038";"00035A";"尊重する、配慮する、注意する、意図する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00039";"00036A";"①活動的な、活発な、敏活な";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00040";"00036B";"②（文法）能動の";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00041";"00037A";"①活躍";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00042";"00037B";"②活動";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00043";"00038A";"検事、検察官";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00044";"00039A";"現今の、現在問題になっている、実際の";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00045";"00040A";"関係者、行為者";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00046";"00041A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00047";"00042A";"すっかり、完全に";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00048";"00043A";"年齢";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00049";"00044A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00050";"00045A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00051";"00046A";"決して～（し）ない、一度も～（し）ない";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00052";"00047A";"se alene";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00053";"00048A";"①ただひとりで、孤独で";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00054";"00048B";"②だけ、のみ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00055";"00049A";"アルファベット、字母";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00056";"00050A";"①アルコール";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00057";"00050B";"②清酒飲料";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00058";"00051A";"すべての、どんな～も、全部";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00059";"00052A";"allの複数形";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00060";"00053A";"（最上級を強めて）はるかに、とびぬけてで";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00061";"00054A";"すでに、もう";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00062";"00055A";"それにもかかわらず、なお、やはり";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00063";"00056A";"常に、いつでも";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00064";"00057A";"すべての事";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00065";"00058A";"普通の、一般的な、全般の、平凡な";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00066";"00059A";"①すでに、もう";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00067";"00059B";"②全部、すべての";"00004";;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00068";"00060A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00069";"00061A";"①選択肢";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00070";"00061B";"②（～の代わりに〕とりうる方法";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00071";"00062A";"①代わりとなる";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00072";"00062B";"②慣習的方法をとらない";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00073";"00063A";"あまりにも～すぎる";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00074";"00064A";"それだから、したがって、つまり";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00075";"00065A";"①真剣さ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00076";"00065B";"②深刻さ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00077";"00066A";"①真剣な、まじめな";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00078";"00066B";"②重大な";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00079";"00066C";"③深刻な";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00080";"00067A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00081";"00068A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00082";"00069A";"アメリカの";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00083";"00070A";"授乳する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00084";"00071A";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00085";"00072A";"（決まり文句の一部として使う言葉）";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00086";"00073A";"分析、解析";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00087";"00074A";"分析する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00088";"00075A";"勧める、推す、推薦する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00089";"00076A";"推薦、薦め";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00090";"00077A";"カモ";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00091";"00078A";"分け前、分担分、関与";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00092";"00079A";"annenの複数形";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
"00093";"00080A";"予感する、予想する";;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
