"WORD_ID";"SPELLING";"PART_OF_SPEECH_01_ID";"PART_OF_SPEECH_02_ID";"PART_OF_SPEECH_03_ID";"PART_OF_SPEECH_04_ID";"PART_OF_SPEECH_05_ID";"PRONUNCIATION"
"00001";"abonnement";"27";;;;;"abone'maŋ"
"00002";"abonnere";"36";;;;;"abone:re"
"00003";"abort";"20";;;;;"abort"
"00004";"absolutt";"02";;;;;"absolut"
"00005";"adgang";"20";;;;;"a:dgaŋ"
"00006";"adjektiv";"27";;;;;"adjektiv"
"00007";"adjø";"25";"27";"16";;;"adjø:"
"00008";"adlyde";"39";;;;;"a:dly:de"
"00009";"administrere";"36";;;;;"admini'stre:re"
"00010";"adoptere";"36";;;;;"adop'te:re"
"00011";"adresse";"12";"20";;;;"adres:e"
"00012";"advare";"36";;;;;"a:dva:re"
"00013";"advarsel";"23";;;;;"a:dvasjl"
"00014";"advent";;;;;;
"00015";"adventskrans";;;;;;
"00016";"adventstid";;;;;;
"00017";"adverb";"27";;;;;"adværb"
"00018";"advokat";"20";;;;;"advo'ka:t"
"00019";"advokatkontor";;;;;;
"00020";"advokatsekretær";;;;;;
"00021";"aerobic";;;;;;
"00022";"Afrika";;;;;;
"00023";"aften";"20";;;;;"aftn"
"00024";"Aftenposten";"10";;;;;"aftnpåst(e)n"
"00025";"Agder";;;;;;
"00026";"agurk";"20";;;;;"agurk"
"00027";"ake";"36";;;;;"a:ke"
"00028";"akebrett";"25";;;;;"a:kebret"
"00029";"Akershus";;;;;;
"00030";"akkurat";"07";;;;;"ak:urat"
"00031";"akseptere";"36";;;;;"aksep'te:re"
"00032";"akseptert";;;;;;
"00033";"aksje";"20";;;;;"akʃe"
"00034";"aksjon";"20";;;;;"akʃo:n"
"00035";"akte";"35";;;;;"akte"
"00036";"aktiv";"01";;;;;"akti:v"
"00037";"aktivitet";"20";;;;;"aktivi'te:t"
"00038";"aktor";"20";;;;;"aktor"
"00039";"aktuell";"08";;;;;"aktuel:"
"00040";"aktør";"20";;;;;"aktø:r"
"00041";"akutt";;;;;;
"00042";"aldeles";"07";;;;;"alde:les"
"00043";"alder";"20";;;;;"alder"
"00044";"aldersgruppe";;;;;;
"00045";"alderspensjon";;;;;;
"00046";"aldri";"07";;;;;"aldri"
"00047";"aleine";"07";;;;;"alæine"
"00048";"alene";"07";;;;;"ale:ne"
"00049";"alfabet";"27";;;;;"alfabe:t"
"00050";"alkohol";"20";;;;;"alko'ho:l"
"00051";"all";"31";;;;;"al: (alt, al:e)"
"00052";"alle";"09";;;;;"ale"
"00053";"aller";"07";;;;;"al:er"
"00054";"allerede";"07";;;;;"alere:de"
"00055";"allikevel";"07";;;;;"ali:kevel"
"00056";"alltid";"07";;;;;"alti"
"00057";"allting";"31";;;;;"altiŋ"
"00058";"alminnelig";"02";;;;;"almin(e)li"
"00059";"alt";"07";;;;;"alt"
"00060";"alt i alt";;;;;;
"00061";"alternativ";"25";"27";;;;
"00062";"alternativ (2)";"01";;;;;
"00063";"altfor";"07";;;;;"altfår"
"00064";"altså";"07";;;;;"altså"
"00065";"alvor";"25";;;;;"alvår"
"00066";"alvorlig";"02";;;;;"alvå:rli"
"00067";"ambulanse";;;;;;
"00068";"Amerika";;;;;;
"00069";"amerikansk";"02";;;;;"ameri'ka:nsk"
"00070";"amme";"35";;;;;"ame"
"00071";"amper";;;;;;
"00072";"an";"07";;;;;"an"
"00073";"analyse";"20";;;;;"ana'ly:se"
"00074";"analysere";"36";;;;;"analy'se:re"
"00075";"anbefale";"36";;;;;"anbefa:le"
"00076";"anbefaling";"12";"20";;;;"anbefa:liŋ"
"00077";"and";"13";"23";;;;"an"
"00078";"andel";"20";;;;;"ande:l"
"00079";"andre";"09";;;;;
"00080";"ane";"36";;;;;"a:ne"
"00081";"anerkjenne";"39";;;;;"anerçene"
"00082";"angre";"35";;;;;"aŋre"
"00083";"angrep";"25";;;;;"angre:p"
"00084";"angripe";"39";;;;;"angri:pe"
"00085";"angst";"20";;;;;"aŋst"
"00086";"angå";"39";;;;;"angå"
"00087";"angående";;;;;;
"00088";"anklage";"12";"20";;;;"ankla:ge"
"00089";"anklage (2)";"35";"37";;;;"ankla:ge"
"00090";"ankomme";"39";;;;;"ankåm:e"
"00091";"ankre opp";;;;;;
"00092";"anledning";"12";"20";;;;"anle:dniŋ"
"00093";"anlegg";"25";;;;;"anleg"
"00094";"anmelde";"36";;;;;"anmele"
"00095";"anmeldelse";"20";;;;;"anmelelse"
"00096";"annen";"09";;;;;"an:en"
"00097";"annenhver";;;;;;
"00098";"annerledes";"03";;;;;"an:erle:des"
"00099";"annet";"09";;;;;"anet"
"00100";"annonse";"20";;;;;"a'nåŋse"
"00101";"annonsere";"36";;;;;"a'nåŋse:re"
"00102";"anorakk";"20";;;;;"anorak:"
"00103";"ansatt";"02";;;;;"ansat"
"00104";"anse";"39";;;;;"anse:"
"00105";"ansette";"39";;;;;"ansete"
"00106";"ansiennitet";;;;;;
"00107";"ansikt";"27";;;;;"ansikt"
"00108";"anslå";"39";;;;;"anslå"
"00109";"ansvar";"25";;;;;"ansva:r"
"00110";"ansvarlig";"02";;;;;"ansva:rli"
"00111";"anta";"39";;;;;"anta:"
"00112";"antakelig";"02";;;;;"anta:keli"
"00113";"antakelig (2)";"07";;;;;"anta:keli"
"00114";"antall";"25";;;;;"antal:"
"00115";"antrekk";"25";;;;;"an:trek:"
"00116";"antyde";"35";;;;;"anty:de"
"00117";"ape";"20";;;;;"a:pe"
"00118";"apotek";"27";;;;;"apote:k"
"00119";"apparat";;;;;;
"00120";"appelsin";"20";;;;;"apelsi:n"
"00121";"april";"34";;;;;"apri:l"
"00122";"apropos";;;;;;
"00123";"arbeid";"27";;;;;"arbæi(d)"
"00124";"arbeide";"35";;;;;"arbæide"
"00125";"arbeider";"21";;;;;"ar'bæider"
"00126";"Arbeiderpartiet";"28";;;;;"arbæiderparti:e"
"00127";"arbeidsavtale";;;;;;
"00128";"arbeidsdag";;;;;;
"00129";"arbeidserfaring";;;;;;
"00130";"arbeidsgiver";"21";;;;;"arbæidsgi:ver"
"00131";"arbeidsledig";"02";;;;;"arbæidsle:di"
"00132";"arbeidsløs";"01";;;;;"arbæidslø:s"
"00133";"arbeidsmiljø";;;;;;
"00134";"arbeidsplass";"20";;;;;"arbæidsplas"
"00135";"arbeidstaker";;;;;;
"00136";"arbeidstid";"12";"20";;;;"arbæidsti:(d)"
"00137";"arg";;;;;;
"00138";"ark";"25";;;;;"ark"
"00139";"arkeologi";;;;;;
"00140";"arkiv";"27";;;;;"ar'ki:v"
"00141";"arm";"20";;;;;"arm"
"00142";"arrangement";"27";;;;;"aranʃemaŋ"
"00143";"arrangere";"36";;;;;"aranʃe:re"
"00144";"arrestere";"36";;;;;"are'ste:re"
"00145";"artig";;;;;;
"00146";"artikkel";"23";;;;;
"00147";"arve";"35";;;;;"arve"
"00148";"Asia";;;;;;
"00149";"asyl";"27";;;;;"asy:l"
"00150";"at";"32";;;;;"at"
"00151";"atskillig";"02";;;;;"atʃil:i"
"00152";"atskillig (2)";"07";;;;;"atʃil:i"
"00153";"atten";"09";;;;;"at:n"
"00154";"attende";"08";;;;;"at:ne"
"00155";"atter";"07";;;;;"at:er"
"00156";"au pair";"20";;;;;"å'pe:r"
"00157";"august";"34";;;;;"æugust"
"00158";"australia";"15";;;;;"æustra:lia"
"00159";"automat";"20";;;;;"æutoma:t"
"00160";"automatisk";"02";;;;;"æutoma:tisk"
"00161";"av";"30";;;;;"a:v"
"00162";"av (2)";"07";;;;;"a:v"
"00163";"av og til";"40";;;;;"a:v å til"
"00164";"avbetaling";"12";"20";;;;"a:vbeta:liŋ"
"00165";"avbryte";"39";;;;;"a:vbry:te"
"00166";"avdeling";"12";"20";;;;"avde:liŋ"
"00167";"avdrag";;;;;;
"00168";"avertere";"36";;;;;"averte:re"
"00169";"avfallssekk";;;;;;
"00170";"avgi";;;;;;
"00171";"avgift";"12";"20";;;;"a:vjift"
"00172";"avgjøre";"39";;;;;"a:vjø:re"
"00173";"avgjørelse";;;;;;
"00174";"avgjørende";;;;;;
"00175";"avhengig";"02";;;;;"a:vheŋi"
"00176";"avhør";;;;;;
"00177";"avhøre";;;;;;
"00178";"avis";"12";"20";;;;"avi:s"
"00179";"avkjøle";"36";;;;;"a:vçø:le"
"00180";"avlaste";"35";;;;;"a:vlaste"
"00181";"avlastningsavdeling";;;;;;
"00182";"avlive";"35";;;;;"a:vli:ve"
"00183";"avskrekkende";;;;;;
"00184";"avsky";"38";;;;;"a:vʃjy:"
"00185";"avsky (2)";"20";;;;;"a:vʃy:"
"00186";"avslag";"25";;;;;"a:vsla:g"
"00187";"avslutte";"35";;;;;"a:vslute"
"00188";"avsluttet";;;;;;
"00189";"avsnitt";"25";;;;;"a:vsnit"
"00190";"avspasere";"36";;;;;"a:vspase:re"
"00191";"avspasering";;;;;;
"00192";"avstand";"20";;;;;"a:vstan"
"00193";"avtale";"39";;;;;"a:vta:le"
"00194";"avtale (2)";"20";;;;;"a:vta:le"
"00195";"avvikle";"35";;;;;"a:vikle"
"00196";"avvise";"36";;;;;"a:vise"
"00197";"avvæpne";"35";;;;;"a:vepne"
"00198";"babord";;;;;;
"00199";"baby";;;;;;
"00200";"babysvømming";;;;;;
"00201";"bachelorgrad";;;;;;
"00202";"bad";"25";;;;;"ba:d"
"00203";"bade";"35";;;;;"ba:de"
"00204";"badekar";"25";;;;;"ba:deka:r"
"00205";"badminton";"20";;;;;"bædmint(å)n"
"00206";"bagasje";"20";;;;;"baga:sje"
"00207";"bak";"30";;;;;"ba:k"
"00208";"bake";"36";;;;;"ba:ke"
"00209";"bakeri";"27";;;;;"bakeri:"
"00210";"bakgrunn";"20";;;;;"ba:kgrun"
"00211";"bakke";"20";;;;;"bak:e"
"00212";"balansere";;;;;;
"00213";"balkong";"20";;;;;"bal'kåŋ"
"00214";"ball";"20";;;;;"bal"
"00215";"ball (2)";"27";;;;;"bal"
"00216";"balsatre";;;;;;
"00217";"banan";"20";;;;;"ba'na:n"
"00218";"band";"25";;;;;"bæn"
"00219";"bane";"20";;;;;"ba:ne"
"00220";"bane (2)";"35";"36";;;;"ba:ne"
"00221";"bank";"20";;;;;"baŋk"
"00222";"banke";"35";;;;;"baŋke"
"00223";"banke på";;;;;;
"00224";"bankfunksjonær";;;;;;
"00225";"bar";"20";;;;;"ba:r"
"00226";"barbere";"36";;;;;"bar'be:re"
"00227";"bare";"07";;;;;"ba:re"
"00228";"bare (2)";"17";;;;;"ba:re"
"00229";"barn";"25";;;;;"ba:rn"
"00230";"barneavdeling";;;;;;
"00231";"barnebarn";"25";;;;;"ba:rneba:rn"
"00232";"barnebillett";;;;;;
"00233";"barnefamilie";;;;;;
"00234";"barnehage";"20";;;;;"ba:rneha:ge"
"00235";"barnehagedress";;;;;;
"00236";"barnesete";;;;;;
